Contig	Mean Abundance	SE	Cazy Class	Cazy Family	Best Hit ID	Description	Taxonomy Lineage			
aggregates-combined-assembly1_5535454_942_1333_-	aggregates-combined-assembly1_5535454_942_1333_-	0.031154374477275	0.00587628623666436	n.d.	GH76	GH	EAA63396.1	hypothetical protein AN28252	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5535469_138_830_-	aggregates-combined-assembly1_5535469_138_830_-	0.03855745988795	0.00719715553020352	n.d.	GT2	GT	ABC20443.1	Glycosyl transferase, family 2	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5535469_953_1582_-	aggregates-combined-assembly1_5535469_953_1582_-	0.03855745988795	0.00719715553020352	n.d.	GT2	GT	ABC20443.1	Glycosyl transferase, family 2	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5535600_31_519_-	aggregates-combined-assembly1_5535600_31_519_-	0.019364697035685	0.00816047974947459	n.d.	GH23	GH	ABC18649.1	Peptidase M23B	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5535623_1_685_+	aggregates-combined-assembly1_5535623_1_685_+	0.03250435598815	0.00666755923365109	n.d.	CE10	CE	AAL20541.1	putative carboxylesterase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5536295_343_953_-	aggregates-combined-assembly1_5536295_343_953_-	0.02294327282675	0.00558924161461699	n.d.	GT41	GT	ABF43727.1	TPR repeat protein	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5536326_182_593_+	aggregates-combined-assembly1_5536326_182_593_+	0.0256706444131525	0.00896535802262531	n.d.	GT4	GT	ABR64412.1	glycosyl transferase group 1	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5536426_46_824_-	aggregates-combined-assembly1_5536426_46_824_-	0.026059538098555	0.00984890732899518	n.d.	GH39	GH	ABW17626.1	transcriptional regulator, AraC family	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5537226_348_630_+	aggregates-combined-assembly1_5537226_348_630_+	0.038267898328175	0.0130877660472924	n.d.	GT2	GT	ABQ55930.1	glycosyltransferase, group 2 family protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5544201_1_355_-	aggregates-combined-assembly1_5544201_1_355_-	0.020336276432125	0.00264381322768433	n.d.	GT35	GT	ABC76772.1	glycogen phosphorylase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5545634_2202_3045_+	aggregates-combined-assembly1_5545634_2202_3045_+	0.041855232720475	0.0102745460035851	n.d.	GT1	GT	ACB08216.1	Glycosyltransferase 28 domain protein	Archaea	Korarchaeota	Candidatus
aggregates-combined-assembly1_5545843_1_962_-	aggregates-combined-assembly1_5545843_1_962_-	0.0245036598697725	0.00898607830074528	n.d.	GH2	GH	ABG82892.1	glycosyl hydrolase, family 2	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5545947_814_1032_+	aggregates-combined-assembly1_5545947_1104_1667_+	0.018903712581425	0.00475716033948164	n.d.	GT2	GT	ABJ85607.1	glycosyl transferase, family 2	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5545947_1104_1667_+	aggregates-combined-assembly1_5545947_814_1032_+	0.018903712581425	0.00475716033948164	n.d.	GT2	GT	BAC72346.1	putative glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5545952_1_1047_+	aggregates-combined-assembly1_5545952_1_1047_+	0.0381649958789	0.0134190302569392	3.2.1.25	GH2	GH	AAD42775.1	mannosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5546080_1_881_+	aggregates-combined-assembly1_5546080_1_881_+	0.0230680050892	0.00602197080806605	n.d.	GT41	GT	ABF43727.1	TPR repeat protein	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5546142_1426_2013_+	aggregates-combined-assembly1_5546142_1426_2013_+	0.038190999124	0.00761603860807883	n.d.	CBM5	CB	CAG23448.1	Hypothetical extracellular protease	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5546142_3147_3522_+	aggregates-combined-assembly1_5546142_3147_3522_+	0.038190999124	0.00761603860807883	n.d.	GT2	GT	ABY29768.1	cellulose synthase catalytic subunit (UDP-forming)	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5546932_1_626_-	aggregates-combined-assembly1_5546932_1_626_-	0.0179594943902	0.00356227435680685	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5546932_754_922_-	aggregates-combined-assembly1_5546932_754_922_-	0.0179594943902	0.00356227435680685	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5547044_1_197_-	aggregates-combined-assembly1_5547044_1_197_-	0.0201581478242	0.00334980191500054	n.d.	CE9	CE	ABN52998.1	amidohydrolase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5547761_46_1035_+	aggregates-combined-assembly1_5547761_46_1035_+	0.0253907277531	0.00984699586878526	n.d.	GT83	GT	CAJ74247.1	hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5547767_248_1000_+	aggregates-combined-assembly1_5547767_248_1000_+	0.0395385846326	0.0146793504292271	n.d.	GT2	GT	ABW16600.1	Hyaluronan synthase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5547938_1_643_+	aggregates-combined-assembly1_5547938_1_643_+	0.02674933158595	0.00644081832173155	n.d.	GT2	GT	ACD61177.1	glycosyl transferase, group 2 family protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5548071_1_633_+	aggregates-combined-assembly1_5548071_1_633_+	0.047151716030175	0.017971894376858	3.2.1.25	GH2	GH	AAD42775.1	mannosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5548131_1_595_+	aggregates-combined-assembly1_5548131_1_595_+	0.047723606683025	0.0105750677140127	n.d.	GT41	GT	AAK22106.1	TPR domain protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5548152_1_335_+	aggregates-combined-assembly1_5548152_1_335_+	0.01973880200365	0.00263386272989586	n.d.	GT2	GT	AAM38554.1	conserved hypothetical protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5548473_1_962_-	aggregates-combined-assembly1_5548473_1_962_-	0.0202469564837	0.00336760114661897	n.d.	CBM32	CB	ABF86225.1	F5/8 type C domain protein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5548823_1_824_-	aggregates-combined-assembly1_5548823_1_824_-	0.027580818789375	0.00471366980407496	3.2.1.25	GH2	GH	AAD42775.1	mannosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5549449_1_908_-	aggregates-combined-assembly1_5549449_1_908_-	0.032967225155775	0.0114874614173384	n.d.	GT2	GT	ABG50779.1	glycosyl transferase, family 2	Bacteria	Cyanobacteria	Oscillatoriales
aggregates-combined-assembly1_5549472_1_531_+	aggregates-combined-assembly1_5549472_1_531_+	0.027287694638125	0.00704497559405884	n.d.	GT30	GT	ABA88509.1	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5549472_571_1002_+	aggregates-combined-assembly1_5549472_571_1002_+	0.027287694638125	0.00704497559405884	n.d.	GT30	GT	ABW67237.1	tetraacyldisaccharide 4'-kinase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5550855_1_206_+	aggregates-combined-assembly1_5550855_1_206_+	0.02106526809107	0.011199280272527	n.d.	GT35	GT	ABF39825.1	Glycogen/starch/alpha-glucan phosphorylase	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5550944_1_353_+	aggregates-combined-assembly1_5550944_1_353_+	0.02310828576277	0.00703305314171091	n.d.	CBM32	CB	AAW96801.1	Sequence 14364 from patent US 6833447	Unclassified		
aggregates-combined-assembly1_5551538_1_405_+	aggregates-combined-assembly1_5551538_1_405_+	0.032081782958475	0.00544718250698963	n.d.	GH1	GH	ACC79009.1	dTDP-4-dehydrorhamnose reductase	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_5552365_1_441_-	aggregates-combined-assembly1_5552365_1_441_-	0.023752267184525	0.00715171550361359	n.d.	none	none	ABJ83585.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5554315_1_309_+	aggregates-combined-assembly1_5554315_1_309_+	0.01982198745175	0.00446097733743697	n.d.	CBM2	CB	ABC29272.1	RTX toxins and related Ca2+-binding protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5555309_1_447_+	aggregates-combined-assembly1_5555309_1_447_+	0.019749385394025	0.00611374107992415	n.d.	GT2	GT	ABI56896.1	glycosyl transferase, family 2	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5559324_1_397_-	aggregates-combined-assembly1_5559324_1_397_-	0.03405725057075	0.00799220988717963	n.d.	GH94	GH	ABQ28483.1	glycosyltransferase 36	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5559460_1_412_+	aggregates-combined-assembly1_5559460_1_412_+	0.050036408989125	0.00930386750705059	n.d.	GT84	GT	AAZ97257.1	cyclic beta 1-2 glucan synthetase	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5559607_1_601_+	aggregates-combined-assembly1_5559607_1_601_+	0.02979867793565	0.00699747302367685	n.d.	CBM48	CB	ACB75293.1	glycogen debranching enzyme GlgX	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5559671_131_769_-	aggregates-combined-assembly1_5559671_131_769_-	0.0264235709651	0.00263178951935237	n.d.	GT2	GT	ABG52805.1	Methyltransferase type 11	Bacteria	Cyanobacteria	Oscillatoriales
aggregates-combined-assembly1_5559999_127_984_-	aggregates-combined-assembly1_5559999_127_984_-	0.0223209694746	0.00722406824281141	n.d.	GH31	GH	AAY32973.1	glycosyl hydrolase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5560210_1_963_-	aggregates-combined-assembly1_5560210_1_963_-	0.018342161755925	0.00640303299844425	n.d.	none	none	ABJ83585.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5560409_1_712_+	aggregates-combined-assembly1_5560409_1_712_+	0.02972120751835	0.00767398554399081	n.d.	GT35	GT	BAF70054.1	glycogen/starch/alpha-glucan phosphorylase	Bacteria	Proteobacteria	Epsilonproteobacteria
aggregates-combined-assembly1_5561544_373_515_-	aggregates-combined-assembly1_5561544_373_515_-	0.02623504260557	0.00884222578027695	n.d.	CE14	CE	ACB75892.1	LmbE family protein	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5561664_93_604_+	aggregates-combined-assembly1_5561664_93_604_+	0.031845525924825	0.005922524483409	n.d.	GT83	GT	ACB00522.1	Dolichyl-phosphate-mannose-protein mannosyltransferase family	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5561704_1_604_-	aggregates-combined-assembly1_5561704_1_604_-	0.02294069318575	0.00385422545549994	n.d.	GT4	GT	ABU56167.1	glycosyl transferase group 1	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_5561740_81_543_+	aggregates-combined-assembly1_5561740_81_543_+	0.046402100774575	0.00743534760233058	n.d.	GT83	GT	ACB00522.1	Dolichyl-phosphate-mannose-protein mannosyltransferase family	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5562009_1_655_+	aggregates-combined-assembly1_5562009_1_655_+	0.025905679765975	0.00317454954884306	n.d.	GT84	GT	ABQ28483.1	glycosyltransferase 36	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5563108_1_738_+	aggregates-combined-assembly1_5563108_1_738_+	0.026320668515825	0.00100882083769893	n.d.	GT4	GT	AAZ60100.1	Glycosyl transferase, family 2:Glycosyl transferase, group 1	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5563473_1_275_+	aggregates-combined-assembly1_5563473_1_275_+	0.0228806510510525	0.00737432718440588	n.d.	GH13	GH	ACB75293.1	glycogen debranching enzyme GlgX	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5564082_238_454_-	aggregates-combined-assembly1_5564082_238_454_-	0.03899877180095	0.0092654119262708	n.d.	GT83	GT	ABI83351.1	phosphorylase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5572108_1_208_+	aggregates-combined-assembly1_5572108_1_208_+	0.02413057747958	0.00895752443358658	n.d.	none	none	ABJ83585.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5572660_115_705_+	aggregates-combined-assembly1_5572660_115_705_+	0.028538619481475	0.00535864553382819	n.d.	GT41	GT	ABF43727.1	TPR repeat protein	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5572675_1_638_+	aggregates-combined-assembly1_5572675_1_638_+	0.0424959270088	0.0167210283585019	n.d.	CBM13	CB	CAJ61616.1	hypothetical protein; putative Ricin B lectin and Actin-like ATPase domains	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5572929_1_343_+	aggregates-combined-assembly1_5572929_1_343_+	0.0245413609024	0.00209135953496875	n.d.	GH26	GH	ABF46051.1	Endoglucanase, family 26	Bacteria	Deinococcus-Thermus	Deinococci
aggregates-combined-assembly1_5573226_50_775_-	aggregates-combined-assembly1_5573226_50_775_-	0.044712624398425	0.00393299084213861	n.d.	GH28	GH	ABJ87782.1	glycoside hydrolase, family 28	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5573226_859_1521_-	aggregates-combined-assembly1_5573226_859_1521_-	0.044712624398425	0.00393299084213861	n.d.	GH28	GH	ABJ87782.1	glycoside hydrolase, family 28	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5573342_1_284_-	aggregates-combined-assembly1_5573342_1_284_-	0.0329640743016	0.0108621860080472	n.d.	GT5	GT	ACD83810.1	Glycogen synthase	Bacteria	Verrucomicrobia	unclassified
aggregates-combined-assembly1_5573848_1_801_-	aggregates-combined-assembly1_5573848_1_801_-	0.04373851272045	0.0134571605308632	n.d.	GH77	GH	ACD05441.1	4-alpha-glucanotransferase	Bacteria	Verrucomicrobia	Verrucomicrobiae
aggregates-combined-assembly1_5574089_209_853_+	aggregates-combined-assembly1_5574089_209_853_+	0.03322291600035	0.0103778301302007	2.4.99.1	GT80	GT	BAA25316.1	sialyltransferase 0160	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5575000_1_477_+	aggregates-combined-assembly1_5575000_1_477_+	0.02999038904445	0.00762394957990127	n.d.	GH77	GH	ACD82997.1	4-alpha-glucanotransferase	Bacteria	Verrucomicrobia	unclassified
aggregates-combined-assembly1_5575106_1_825_-	aggregates-combined-assembly1_5575106_1_825_-	0.0236274431027	0.00370064930880656	n.d.	none	none	ABJ83585.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5575233_1_652_+	aggregates-combined-assembly1_5575233_1_652_+	0.0279796009375	0.00236405421980702	n.d.	GH23	GH	ABY92024.1	peptidase M23B	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5575926_1_506_-	aggregates-combined-assembly1_5575926_1_506_-	0.026448491708175	0.00548539947228272	n.d.	GH2	GH	ACB74280.1	glycoside hydrolase family 2 sugar binding	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5576267_381_926_-	aggregates-combined-assembly1_5576267_381_926_-	0.0504689497361225	0.0263974816272433	n.d.	GH3	GH	ABM06825.1	putative beta-N-acetylhexosaminidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5576336_6_470_-	aggregates-combined-assembly1_5576336_6_470_-	0.0260966360229	0.00334599601884754	n.d.	GH26	GH	ABC20431.1	Beta-mannanase-like	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5585942_1_441_-	aggregates-combined-assembly1_5585942_1_441_-	0.029534456588475	0.00812545911370918	n.d.	CE4	CE	BAE56160.1	unnamed protein product	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5586772_1_645_+	aggregates-combined-assembly1_5586772_1_645_+	0.02112855289925	0.00432086850974477	n.d.	GT4	GT	ABO89540.1	glycosyl transferase, group 2 family protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5586784_961_1800_+	aggregates-combined-assembly1_5586784_961_1800_+	0.02160002892445	0.0057333156147136	n.d.	GT9	GT	CAJ74686.1	hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5587686_1_938_-	aggregates-combined-assembly1_5587686_1_938_-	0.0386518917589	0.0077315238668869	n.d.	GH23	GH	AAM25264.1	Membrane proteins related to metalloendopeptidases	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5587739_1_498_+	aggregates-combined-assembly1_5587739_1_498_+	0.020314446618925	0.0036833331590035	n.d.	CE9	CE	BAE19161.1	N-acetylglucosamine-6-phosphate deacetylase	Bacteria	Firmicutes	Bacillales
aggregates-combined-assembly1_5587926_242_817_+	aggregates-combined-assembly1_5587926_242_817_+	0.046162616531725	0.00901790757590312	n.d.	GT4	GT	BAE75477.1	putative lipopolysaccharide glycosyltransferase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5587995_1_584_+	aggregates-combined-assembly1_5587995_1_584_+	0.032936018168775	0.00833847639143663	n.d.	GT4	GT	BAB72876.1	all0919	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_5588221_1_609_+	aggregates-combined-assembly1_5588221_1_609_+	0.028079596095625	0.00920962014107922	n.d.	GT4	GT	ABU79286.1	hypothetical protein ESA_04105	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5588309_1_378_-	aggregates-combined-assembly1_5588309_1_378_-	0.0334455306089	0.0111202064554595	n.d.	CE14	CE	CAL66786.1	secreted protein	Bacteria	Bacteroidetes	Flavobacteria
aggregates-combined-assembly1_5588963_1_926_-	aggregates-combined-assembly1_5588963_1_926_-	0.031703229100425	0.00326281371514832	n.d.	GH94	GH	ABB74486.1	glycosyltransferase 36	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5588971_1_782_-	aggregates-combined-assembly1_5588971_1_782_-	0.0303650971207	0.00428686653960203	n.d.	GH23	GH	ABY95850.1	peptidase M23B	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5589007_1_616_-	aggregates-combined-assembly1_5589007_1_616_-	0.0241764813646025	0.00763018533773686	n.d.	CE9	CE	AAO78693.1	N-acetylglucosamine-6-phosphate deacetylase	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5589421_1_701_-	aggregates-combined-assembly1_5589421_1_701_-	0.019957211285175	0.00253870181482072	n.d.	GH61	GH	EAA59072.1	hypothetical protein AN35112	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5589946_1_322_-	aggregates-combined-assembly1_5589946_1_322_-	0.02058447481625	0.00435155673933436	n.d.	GT2	GT	BAD85921.1	dolichol-phosphate mannosyltransferase, fused to C-terminal uncharacterized domain	Archaea	Euryarchaeota	Thermococci
aggregates-combined-assembly1_5594268_1_381_-	aggregates-combined-assembly1_5594268_1_381_-	0.0410182740492	0.00973749754508268	n.d.	GT28	GT	ACB75821.1	Monogalactosyldiacylglycerol synthase	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5598860_117_971_+	aggregates-combined-assembly1_5598860_117_971_+	0.049831626668375	0.0039467589347192	n.d.	CE10	CE	AAK23208.1	hypothetical protein CC_1226	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5598980_1_975_+	aggregates-combined-assembly1_5598980_1_975_+	0.030499146632725	0.00643791168608105	n.d.	GT4	GT	ABJ81361.1	UDP-galactopyranose mutase	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5599258_1_1089_+	aggregates-combined-assembly1_5599258_1_1089_+	0.0248006539658	0.00653362187999624	n.d.	GT4	GT	CAI32934.1	putative glycosyl transferase	Bacteria	Firmicutes	Lactobacillales
aggregates-combined-assembly1_5599434_1_770_-	aggregates-combined-assembly1_5599434_1_770_-	0.034706100352025	0.00677177044502222	n.d.	GT51	GT	CAO89158.1	mrcB	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5599442_1_252_+	aggregates-combined-assembly1_5599442_1_252_+	0.031994424078475	0.00840673214307191	n.d.	GH39	GH	ABW17626.1	transcriptional regulator, AraC family	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5599791_1_588_+	aggregates-combined-assembly1_5599791_1_588_+	0.02119730917523	0.0039792405743828	n.d.	GT4	GT	ABY36272.1	glycogen synthase	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_5600462_550_1158_+	aggregates-combined-assembly1_5600462_550_1158_+	0.02544276613845	0.00647844273739658	n.d.	GH38	GH	ABF42123.1	glycosyl hydrolases 38-like	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5600697_86_571_-	aggregates-combined-assembly1_5600697_86_571_-	0.028715993237525	0.00550505704818423	n.d.	GT9	GT	AAS05800.1	hypothetical protein MAP_3252	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5600910_581_836_-	aggregates-combined-assembly1_5600910_581_836_-	0.024867029703825	0.00379007775069192	n.d.	GH13	GH	ABN56319.1	alpha amylase, catalytic region	Archaea	Euryarchaeota	Methanomicrobia
aggregates-combined-assembly1_5601003_1_997_-	aggregates-combined-assembly1_5601003_1_997_-	0.03903165183345	0.0109128784365497	n.d.	CE10	CE	AAK23208.1	hypothetical protein CC_1226	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5601021_1_193_+	aggregates-combined-assembly1_5601021_1_193_+	0.039895835430675	0.0106822178791943	n.d.	GH94	GH	CAK05553.1	putative glycosyl transferase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5601322_1_550_+	aggregates-combined-assembly1_5601322_1_550_+	0.0187784690300725	0.00567783807945903	n.d.	GT4	GT	CAI32934.1	putative glycosyl transferase	Bacteria	Firmicutes	Lactobacillales
aggregates-combined-assembly1_5601326_1_436_-	aggregates-combined-assembly1_5601326_1_436_-	0.048401886021625	0.0183689794853211	n.d.	GT51	GT	ABY91560.1	penicillin-binding protein, 1A family	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5601413_1_880_-	aggregates-combined-assembly1_5601413_1_880_-	0.024587959715025	0.00994405301902757	n.d.	GT41	GT	ABW66894.1	Tetratricopeptide TPR_2 repeat protein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5601431_234_572_-	aggregates-combined-assembly1_5601431_234_572_-	0.025495048086775	0.00740574857810333	n.d.	GT9	GT	CAJ74686.1	hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5601606_1_709_-	aggregates-combined-assembly1_5601606_1_709_-	0.03962580723335	0.00896909648527313	n.d.	GT4	GT	AAW43127.1	transferase, putative	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5601606_1081_1681_-	aggregates-combined-assembly1_5601606_1081_1681_-	0.03962580723335	0.00896909648527313	n.d.	GT2	GT	ABI58741.1	Dolichyl-phosphate beta-D-mannosyltransferase	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5601693_1_638_+	aggregates-combined-assembly1_5601693_1_638_+	0.028675201275	0.00558100574112873	n.d.	GT2	GT	ABJ83115.1	glycosyl transferase, family 2	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5601760_21_746_-	aggregates-combined-assembly1_5601760_21_746_-	0.020085034477545	0.0059887143557797	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5601930_1_511_-	aggregates-combined-assembly1_5601930_1_511_-	0.02196851068105	0.00257810981032625	n.d.	GT51	GT	AAN58216.1	penicillin-binding protein 1a; membrane carboxypeptidase	Bacteria	Firmicutes	Lactobacillales
aggregates-combined-assembly1_5602648_1_551_-	aggregates-combined-assembly1_5602648_1_551_-	0.03538366929865	0.0084760503953379	n.d.	GH65	GH	ACA17291.1	Kojibiose phosphorylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5602782_1_511_+	aggregates-combined-assembly1_5602782_1_511_+	0.02643298003405	0.0113073901328842	n.d.	GH73	GH	ACD24635.1	surface protein PspC	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5602987_1_586_-	aggregates-combined-assembly1_5602987_1_586_-	0.024534471550205	0.00601957529096634	n.d.	GT51	GT	ABS52357.1	penicillin-binding protein 1A (PBP-1a) (PBP1a) (Penicillin-bindingprotein A)	Bacteria	Proteobacteria	Epsilonproteobacteria
aggregates-combined-assembly1_5603353_1_473_-	aggregates-combined-assembly1_5603353_1_473_-	0.025915600123825	0.011350780402868	n.d.	CE9	CE	ABQ30629.1	N-acetylglucosamine-6-phosphate deacetylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5603686_122_487_-	aggregates-combined-assembly1_5603686_122_487_-	0.0233483731139	0.0103567006563878	n.d.	GT4	GT	ABB75092.1	phosphoheptose isomerase	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5611353_1_405_+	aggregates-combined-assembly1_5611353_1_405_+	0.02573940068915	0.00339985104941214	n.d.	CE10	CE	AAG20414.1	acylaminoacyl-peptidase	Archaea	Euryarchaeota	Halobacteria
aggregates-combined-assembly1_5611793_1_463_-	aggregates-combined-assembly1_5611793_1_463_-	0.03886837186715	0.0108251828123139	n.d.	none	none	ABJ83585.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5611837_1_776_+	aggregates-combined-assembly1_5611837_1_776_+	0.036340203849975	0.00984513113839583	n.d.	GT2	GT	CAG74948.1	putative bifunctional enzyme including aminotransferase and chitin synthase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5611936_1_912_-	aggregates-combined-assembly1_5611936_1_912_-	0.0275744407261	0.00607916148100714	n.d.	GH13	GH	CAJ73822.1	conserved hypothetical protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5612173_1_384_-	aggregates-combined-assembly1_5612173_1_384_-	0.015698730469475	0.00383774107810505	n.d.	CE10	CE	BAA80835.1	acylamino-acid-releasing enzyme	Archaea	Crenarchaeota	Thermoprotei
aggregates-combined-assembly1_5612755_1_384_-	aggregates-combined-assembly1_5612755_1_384_-	0.0266203340722	0.0112072407677136	n.d.	none	none	ABN77274.1	NAD-dependent epimerase/dehydratase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5613663_1_1014_+	aggregates-combined-assembly1_5613663_1_1014_+	0.04178796585125	0.0116301909131328	n.d.	GT83	GT	ACD84360.1	4-amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family	Bacteria	Verrucomicrobia	unclassified
